SKU;ID fila;ID Orden;Fecha Orden;Prioridad;Cantidad;Ventas;Descuento;Tipo de Envío;Nombre del Cliente;Provincia;Segmento del Cliente;Fecha de envío
1;1;3;13/10/2010;Bajo;6;261,54;0,04;Aereo Regular;Muhammed MacIntyre;Nunavut;PYME;20/10/2010
2;49;293;1/10/2012;Alto;49;10123,02;0,07;Terrestre;Barry French;Nunavut;Consumidor;2/10/2012
3;50;293;1/10/2012;Alto;27;244,57;0,01;Aereo Regular;Barry French;Nunavut;Consumidor;3/10/2012
4;80;483;10/7/2011;Alto;30;4965,7595;0,08;Aereo Regular;Clay Rozendal;Nunavut;Corporativo;12/7/2011
5;85;515;28/8/2010;No Especificado;19;394,27;0,08;Aereo Regular;Carlos Soltero;Nunavut;Consumidor;30/8/2010
6;86;515;28/8/2010;No Especificado;21;146,69;0,05;Aereo Regular;Carlos Soltero;Nunavut;Consumidor;30/8/2010
7;97;613;17/6/2011;Alto;12;93,54;0,03;Aereo Regular;Carl Jackson;Nunavut;Corporativo;17/6/2011
8;98;613;17/6/2011;Alto;22;905,08;0,09;Aereo Regular;Carl Jackson;Nunavut;Corporativo;18/6/2011
9;103;643;24/3/2011;Alto;21;2781,82;0,07;Aereo Express;Monica Federle;Nunavut;Corporativo;25/3/2011
10;107;678;26/2/2010;Bajo;44;228,41;0,07;Aereo Regular;Dorothy Badders;Nunavut;Oficina en Hogar;26/2/2010
11;127;807;23/11/2010;Medio;45;196,85;0,01;Aereo Regular;Neola Schneider;Nunavut;Oficina en Hogar;24/11/2010
12;128;807;23/11/2010;Medio;32;124,56;0,04;Aereo Regular;Neola Schneider;Nunavut;Oficina en Hogar;24/11/2010
5;134;868;8/6/2012;No Especificado;32;716,84;0;Aereo Regular;Carlos Daly;Nunavut;Oficina en Hogar;9/6/2012
13;135;868;8/6/2012;No Especificado;31;1474,33;0,04;Aereo Regular;Carlos Daly;Nunavut;Oficina en Hogar;10/6/2012
14;149;933;4/8/2012;No Especificado;15;80,61;0,02;Aereo Regular;Claudia Miner;Nunavut;PYME;4/8/2012
15;160;995;30/5/2011;Medio;46;1815,49;0,03;Aereo Regular;Neola Schneider;Nunavut;Oficina en Hogar;31/5/2011
16;161;998;25/11/2009;No Especificado;16;248,26;0,07;Aereo Regular;Allen Rosenblatt;Nunavut;PYME;26/11/2009
17;175;1154;14/2/2012;Critical;44;4462,23;0,04;Terrestre;Sylvia Foulston;Nunavut;Oficina en Hogar;16/2/2012
18;176;1154;14/2/2012;Critical;11;663,784;0,25;Aereo Regular;Sylvia Foulston;Nunavut;Oficina en Hogar;16/2/2012
19;203;1344;15/4/2012;Bajo;15;834,904;0,06;Aereo Regular;Jim Radford;Nunavut;Corporativo;22/4/2012
20;204;1344;15/4/2012;Bajo;18;2480,9205;0,01;Aereo Regular;Jim Radford;Nunavut;Corporativo;19/4/2012
21;213;1412;12/3/2010;No Especificado;13;59,03;0,1;Aereo Express;Carlos Soltero;Nunavut;Consumidor;14/3/2010
22;214;1412;12/3/2010;No Especificado;21;97,48;0,05;Aereo Regular;Carlos Soltero;Nunavut;Consumidor;14/3/2010
23;229;1539;9/3/2011;Bajo;33;511,83;0,1;Aereo Regular;Carl Ludwig;Nunavut;Corporativo;11/3/2011
24;230;1539;9/3/2011;Bajo;38;184,99;0,05;Aereo Regular;Carl Ludwig;Nunavut;Corporativo;14/3/2011
25;231;1540;4/8/2012;Alto;30;80,9;0,09;Aereo Regular;Don Miller;Nunavut;Oficina en Hogar;6/8/2012
26;249;1702;6/5/2011;Alto;23;67,24;0,06;Aereo Regular;Annie Cyprus;Nunavut;Oficina en Hogar;7/5/2011
27;250;1761;23/12/2010;Alto;25;12028,23;0,01;Terrestre;Carl Ludwig;Nunavut;Corporativo;25/12/2010
28;256;1792;8/11/2010;Bajo;28;370,48;0,04;Aereo Regular;Carlos Soltero;Nunavut;Consumidor;13/11/2010
29;330;2275;21/10/2012;No Especificado;49;278;0,08;Aereo Regular;Grant Carroll;Nunavut;PYME;22/10/2012
30;331;2277;1/1/2011;No Especificado;10;66,54;0,01;Aereo Regular;Don Miller;Nunavut;Oficina en Hogar;2/1/2011
